Recreation Visits,LowestTemperature(F),HighestTemperature(F),WarmestMinimumTemperature(F),ColdestMaximumTemperature(F),AverageMinimumTemperature(F),AverageMaximumTemperature(F),MeanTemperature(F),TotalPrecipitation(In),TotalSnowfall(In),Max 24hrPrecipitation(In),Max 24hrSnowfall(In),Year/Month/Day,3month Percent Change Airfare Costs,3month Percent Change Food Away From Home Costs,3month Percent Change Gasoline Costs,3month Percent Change Jet Fuel Costs,Consumer Price Index,Consumer Sentiment Index,Unemployment Rate
738807,25,94,53,72,39.3,82.8,61,2.74,0,0.5,0,2006/7/1,2.9,0.9,9.5,-5.2,0.3,84.7,4.7
743165,31,90,52,69,40.1,80.6,60.3,1,0,0.7,0,2005/7/1,2.5,0.8,5.4,-3,0.5,96.5,5
732682,31,90,54,66,40.5,78.6,59.6,1.73,0,0.66,0,2004/7/1,-3.2,0.9,7.5,12.3,-0.2,96.7,5.5
809689,30,96,51,76,37.9,86.6,62.2,0.65,0,0.39,0,2003/7/1,1.4,0.7,-6.4,-8,0.1,90.9,6.2
794929,32,98,52,73,40.8,84.8,62.8,1.31,0,0.56,0,2002/7/1,-3,0.7,2.3,6,0.1,88.1,5.8
724735,34,90,51,70,41.4,81.2,61.3,1.74,0,0.6,0,2001/7/1,5.6,0.8,-4,-1,-0.3,92.4,4.6
768040,24,92,41,69,31.5,82.3,56.9,0.2,0,0.14,0,2000/7/1,3,0.6,6.4,0.7,0.2,108.3,4
832685,24,92,56,61,30.9,79.4,55.1,0.84,0,0.42,0,1999/7/1,-1.1,0.4,1.8,5.1,0.3,106,4.3
829683,34,92,52,70,40.8,83.2,62,1.43,0,0.3,0,1998/7/1,-1.3,0.6,3.2,-7,0.1,105.2,4.5
774327,33,89,51,59,43.3,77.4,60.3,3.42,0,1.04,0,1997/7/1,-0.2,0.6,-3.7,-5.2,0.1,107.1,4.9
818964,30,89,49,73,37.6,82.6,60.1,0.73,0,0.28,0,1996/7/1,2.8,0.8,-2.3,-5.4,0.2,94.7,5.5
847003,33,89,54,62,44.3,77,60.7,2.07,0,0.4,0,1995/7/1,4.2,0.5,0.7,-0.2,0,94.4,5.7
831152,25,92,47,45,34.6,79.4,57,1.75,0,0.64,0,1994/7/1,-4,0.3,2.2,6,0.3,89,6.1
768164,26,85,43,46,35.2,67.3,51.3,2.51,0,0.88,0,1993/7/1,4.4,0.5,-4.7,-4,0,77,6.9
799411,30,85,45,57,35,71.4,53.2,2.08,0,0.47,0,1992/7/1,-6.6,0.4,3.8,17.5,0.2,76.6,7.7
796656,30,91,46,64,36.6,81.7,59.2,0.75,0,0.27,0,1991/7/1,1.3,0.9,-1.2,-2.9,0.1,82.9,6.8
760520,30,95,47,63,35.9,79.8,57.9,1.12,0,0.49,0,1990/7/1,3.3,1.1,0.3,-8.1,0.4,88.2,5.5
696587,32,93,50,66,39.6,82.4,61,1.77,0,0.34,0,1989/7/1,2.5,1.2,-0.7,-6.5,0.2,92,5.2
636295,25,97,43,74,36.1,85.7,60.9,0.89,0,0.36,0,1988/7/1,,1.2,0.9,0.6,0.4,93.4,5.4
685128,27,84,46,55,37.4,73.6,55.5,4.3,0,0.9,0,1987/7/1,,0.9,2.3,13,0.3,93.7,6.1
663205,,,,,,,,,,,,1986/7/1,,1.1,-1.6,-22.1,0,97.7,7
841036,28,88,50,66,37.8,79.5,58.7,0.48,0,0.21,0,2016/8/1,-2.6,0.6,-1,6.6,0.1,89.8,4.9
854408,27,89,47,58,38.6,77.8,58.2,2.36,0,0.78,0,2015/8/1,-2.2,0.4,-0.2,-15.7,-0.1,91.9,5.1
773357,32,86,50,53,42,72.8,57.4,3.76,0,1.1,0,2014/8/1,-2.8,0.7,-2.6,2.7,-0.2,82.5,6.2
725136,36,91,51,70,41.8,81.8,61.8,0.79,0,0.24,0,2013/8/1,4.7,0.5,2.9,11.4,0.1,82.1,7.3
780286,29,90,48,70,39.2,83.2,61.2,0.69,0,0.36,0,2012/8/1,5.9,0.8,2.2,3.3,0.6,74.3,8.1
805173,33,90,51,72,40.5,82.1,61.3,1.99,0,1.5,0,2011/8/1,8,0.9,-2.7,-4.7,0.3,55.8,9
854837,27,90,49,59,37.5,78.1,57.8,1.74,0,0.54,0,2010/8/1,1.2,0.4,2.2,-6.7,0.1,68.9,9.5
752983,25,91,49,61,37.7,76.8,57.2,2.26,0,0.96,0,2009/8/1,3.3,0.3,26.4,39.3,0.2,65.7,9.6
731063,28,91,47,70,36.5,81.6,59.1,0.33,0,0.19,0,2008/8/1,6.6,1.4,10.1,-10.9,-0.4,63,6.1
710781,32,91,53,67,39.4,80.7,60,1.59,0,0.45,0,2007/8/1,0.5,1.2,-1.7,2,-0.2,83.4,4.6
635666,25,89,44,66,32.8,80.2,56.5,0.56,0,0.19,0,2006/8/1,1.2,0.8,11.1,-1,0.2,82,4.7
647288,20,90,46,55,36.3,76.9,56.6,1.84,0,0.67,0,2005/8/1,1.3,0.8,22.9,13.7,0.5,89.1,4.9
657869,30,88,50,58,37.4,76,56.7,1.57,0,0.43,0,2004/8/1,-3,0.9,1.9,15.6,0.1,95.9,5.4
698753,25,97,51,63,37.3,85,61.1,0.41,0,0.12,0,2003/8/1,1.5,0.6,14.9,4.1,0.4,89.3,6.1
663266,23,85,46,63,32.8,77.7,55.2,1.06,0,0.63,0,2002/8/1,-3.2,0.7,2.7,1.3,0.3,87.6,5.7
613965,30,94,44,68,37.8,85.2,61.5,0.26,0,0.1,0,2001/8/1,2.9,0.9,-14.1,-8,0,91.5,4.9
634104,21,95,39,64,29.6,83,56.3,1.66,0,0.79,0,2000/8/1,3.8,0.7,2.2,11.3,0,107.3,4.1
760062,26,88,49,58,37.3,79.1,58.2,3.46,0,0.61,0,1999/8/1,-1.4,0.6,8.8,19.1,0.2,104.5,4.2
764238,27,91,47,70,37.5,82.1,59.8,0.57,0,0.42,0,1998/8/1,1.4,0.6,-1,-9.3,0.1,104.4,4.5
737973,32,87,53,62,40.5,77.6,59.1,2.25,0,0.51,0,1997/8/1,-3.7,0.7,4.6,-1.2,0.2,104.4,4.8
753934,24,92,42,66,33.8,81.9,57.8,0.96,0,0.4,0,1996/8/1,0.9,0.7,-4.8,-5.8,0.2,95.3,5.1
773307,24,91,57,64,38.5,80.5,59.5,1.42,0,0.29,0,1995/8/1,0.2,0.5,-2,-4.2,0.3,96.2,5.7
731012,25,88,51,70,33.9,84,58.9,0.56,0,0.14,0,1994/8/1,2.9,0.4,9.1,7.2,0.4,91.7,6
714408,20,80,47,62,34.5,72.7,53.6,1.49,0,0.25,0,1993/8/1,2,0.5,-3,-11.1,0.3,77.3,6.8
742879,13,86,47,55,31.8,78.3,55,1.27,0,0.58,0,1992/8/1,-5,0.4,2.3,4.4,0.3,76.1,7.6
721103,30,88,49,74,37.3,82,59.7,1.18,0,0.48,0,1991/8/1,2.8,0.8,-1.7,0.3,0.3,82,6.9
674454,30,93,46,69,36,80.6,58.3,2.35,0,1.03,0,1990/8/1,2.7,0.9,10,5.3,0.9,76.4,5.7
608248,28,92,52,55,36.1,75.2,55.6,1.18,0,0.28,0,1989/8/1,2.5,1,-7,-5,0.2,89.6,5.2
440130,16,91,42,72,30.2,82.2,56.2,0.22,0,0.12,0,1988/8/1,,1.2,3,-6.6,0.4,97.4,5.6
626537,22,85,43,60,34.4,75.1,54.8,1.38,0,0.51,0,1987/8/1,,0.9,6.9,13.8,0.5,94.4,6
614295,31,90,46,59,36.7,78.3,57.5,1.67,0,1,0,1986/8/1,,0.9,-8.6,-22.2,0.2,94.9,6.9
701754,24,87,46,38,34.3,67.1,50.7,2.13,0,0.53,0,2016/9/1,-1.6,0.6,0.4,3.8,0.2,91.2,4.9
680213,25,87,47,54,33.4,73.1,53.2,1.15,0,0.46,0,2015/9/1,-3.6,0.8,-10.1,-13.2,-0.2,87.2,5
571764,18,82,42,47,34.1,69.3,51.7,2.33,0,0.62,0,2014/9/1,-2.8,0.9,-3.2,6.2,0.1,84.6,5.9
557925,25,86,52,43,37.7,69.6,53.7,2.45,0.5,0.83,0.5,2013/9/1,5.6,0.4,1.2,12,0.1,77.5,7.2
527610,22,81,47,65,32.2,75,53.6,1.33,0,0.41,0,2012/9/1,8.5,0.7,12.1,20.6,0.4,78.3,7.8
536349,22,84,41,55,31,74.8,52.9,0.28,0,0.09,0,2011/9/1,6.8,0.8,1.6,-0.6,0.2,59.5,9
550504,23,88,38,56,29.3,72.4,50.9,0.3,0,0.1,0,2010/9/1,0.4,0.6,5.8,4.4,0.1,68.2,9.5
489438,18,84,43,59,31.4,76.5,54,0.1,0,0.04,0,2009/9/1,6.7,0.4,6.2,14.8,0.1,73.5,9.8
437552,19,83,43,52,27.5,68.8,48.1,0.07,0,0.02,0,2008/9/1,0.4,1.5,-0.1,-9.1,-0.1,70.3,6.1
463994,21,88,46,49,32.8,69.6,51.2,0.95,0,0.43,0,2007/9/1,1.4,1.4,1.4,14.5,0.3,83.4,4.7
428369,18,87,41,42,29.6,68.1,48.9,0.56,0,0.22,0,2006/9/1,0.2,0.7,-3,-10.4,-0.5,85.4,4.5
393362,21,84,40,47,28.9,66.9,47.9,1.27,0,0.32,0,2005/9/1,1.3,0.7,45.1,29.2,1.2,76.9,5
406327,19,84,46,45,30.3,67.1,48.7,2.13,0,0.55,0,2004/9/1,-1.9,1,0.6,14.7,0.2,94.2,5.4
404498,15,86,39,45,25.4,69.2,47.3,0.69,0.1,0.14,0.1,2003/9/1,0.8,0.5,22.3,-19.5,0.3,87.7,6.1
413960,12,86,45,53,29.3,71,50.2,1.08,0,0.49,0,2002/9/1,-1.1,0.6,3.3,5.6,0.2,86.1,5.7
373583,22,87,42,50,31.1,74.8,52.9,0.5,0,0.19,0,2001/9/1,-2.7,0.9,-4.5,-9.4,0.5,81.8,5
353728,10,87,38,35,28.7,67.1,47.9,2.21,5,1.6,5,2000/9/1,0,0.8,-0.7,26,0.5,106.8,3.9
445057,4,77,29,40,19.8,65.5,42.7,0.8,0,0.35,0,1999/9/1,1.9,0.7,13.8,17.2,0.5,107.2,4.2
445741,22,90,48,52,33,74.7,53.9,2.03,0,0.58,0,1998/9/1,2.5,0.9,-3.1,-10.7,0.1,100.9,4.6
403184,23,84,43,55,33.6,70.5,52,2.24,0,0.49,0,1997/9/1,-0.6,0.8,5.6,-8.7,0.2,106,4.9
426806,12,84,43,39,25.7,66.2,46,0.98,0,0.28,0,1996/9/1,2,0.8,-3.3,9.9,0.3,94.7,5.2
468062,12,88,50,43,29.1,70.6,49.9,1.46,0,0.56,0,1995/9/1,-5.3,0.5,-5.3,-2,0.2,88.9,5.6
414848,12,84,39,55,24.5,75.3,49.9,1.08,0,0.44,0,1994/9/1,1.6,0.5,7.3,1.1,0.3,91.5,5.9
401124,13,81,35,52,25.8,68.1,47,0.24,0.1,0.1,0.1,1993/9/1,3.5,0.4,-2.7,-9.1,0.2,77.9,6.7
462788,13,82,38,45,24.7,67.6,46.2,1.71,0,0.5,0,1992/9/1,0.5,0.4,-0.2,-4.3,0.3,75.6,7.6
432948,17,84,43,47,28.3,68.2,48.2,1.82,0,0.75,0,1991/9/1,-0.4,0.8,-0.6,2.2,0.4,83,6.9
414563,20,86,46,62,31.3,76.8,54.1,1.07,0,0.38,0,1990/9/1,3.3,0.8,18,44.5,0.8,72.8,5.9
403579,13,82,42,49,27.3,70.2,48.7,0.26,0,0.18,0,1989/9/1,1.6,1.3,-7.4,-1,0.3,95.8,5.3
176833,13,86,33,42,24.7,68,46.4,0.24,0,0.12,0,1988/9/1,,1.2,1.9,-11,0.7,97.3,5.4
361842,17,88,40,53,27,73,50,0.19,0,0.09,0,1987/9/1,,1,3.9,6.7,0.5,93.6,5.9
295089,18,77,35,42,29.2,59.3,44.3,2.24,,0.65,,1986/9/1,,0.8,-9.2,-17.9,0.5,91.9,7
242004,14,72,45,41,31.7,53.4,42.6,2.89,0,0.56,0,2016/10/1,-1.7,0.5,9.1,7.9,0.1,87.2,4.8
252013,18,76,44,42,29.4,61.6,45.5,1.28,0,0.59,0,2015/10/1,-1.1,1,-12,-12.7,0,90,5
194804,20,70,34,40,26,59.2,42.6,1.26,1,0.31,1,2014/10/1,-1.5,0.8,-5.6,-1.2,-0.3,86.9,5.7
47560,11,65,32,34,20.8,50,35.4,1.54,4.3,0.57,4,2013/10/1,1,0.4,-0.5,8.4,-0.3,73.2,7.2
177069,12,73,34,25,21.6,52.9,37.3,1.05,2.5,0.35,2,2012/10/1,1.9,0.6,15.7,19.2,0,82.6,7.8
175433,8,82,39,36,26.4,54.9,40.7,1.01,1.5,0.28,1,2011/10/1,0.7,0.8,0.3,-3.1,-0.2,60.8,8.8
189072,18,83,36,38,26.3,60.9,43.6,1.15,0.4,0.6,0.4,2010/10/1,0.1,0.7,9.1,16.5,0.1,67.7,9.4
123867,1,69,34,27,19.5,44.4,31.9,1.6,8.3,0.55,2.3,2009/10/1,5.9,0.4,8,15,0.1,70.6,10
145488,8,80,39,33,21.2,55.4,38.3,0.61,6.6,0.22,3.1,2008/10/1,-5.4,1.3,-16.7,-28.2,-1,57.6,6.5
139789,20,69,31,38,24.8,52.9,38.9,2.93,11.2,1.04,5.1,2007/10/1,3.1,1.1,1.7,7.9,0.2,80.9,4.7
146790,-2,74,40,28,22.3,52.3,37.3,2.36,3.3,1.1,1.6,2006/10/1,-1.9,0.7,-19.7,-13.9,-0.5,93.6,4.4
142912,12,74,34,37,23.5,57.8,40.7,1.52,3.9,0.61,2.3,2005/10/1,1.8,0.8,25.4,47,0.2,74.2,5
135605,11,71,35,35,25.1,53.1,39.1,1.26,8,0.6,3.5,2004/10/1,0.1,0.9,9.2,21.7,0.5,91.7,5.5
175877,5,78,29,22,19.5,61.8,40.7,1.24,1.5,0.63,0.5,2003/10/1,0.7,0.5,9.4,-7.4,-0.1,89.6,6
142702,-4,65,30,16,14.7,49.7,32.2,1.46,13.3,0.4,3.8,2002/10/1,-0.8,0.6,6.2,16.1,0.2,80.6,5.7
121958,6,80,33,36,20.4,55.3,37.8,1.41,10.7,0.35,5,2001/10/1,-5,0.9,-4.9,-19.6,-0.3,82.7,5.3
139784,9,71,39,44,24,55.9,39.9,1.01,0,0.34,0,2000/10/1,-4.3,0.7,-0.8,15.1,0.2,105.8,3.9
142049,2,73,31,39,14,60.9,37.8,0.82,2.3,0.54,1.8,1999/10/1,0.7,0.7,9,11,0.2,103.2,4.1
150079,,,,,,,,,,,,1998/10/1,-1,0.7,-2,-1.1,0.2,97.4,4.5
120266,9,77,35,32,24.9,52,38.5,1.74,5.3,0.42,2.2,1997/10/1,0.9,0.7,5.3,-1.5,0.2,105.6,4.7
118902,-4,79,28,32,17.4,56.1,36.7,0.72,10.9,0.23,3,1996/10/1,3.7,0.9,-1.1,9.7,0.3,96.5,5.2
128483,4,71,32,31,21.3,49.8,35.5,1.74,5.2,0.48,2.5,1995/10/1,-2.8,0.6,-3.6,-3.2,0.3,90.2,5.5
106646,8,70,35,34,24,53.2,38.6,0.89,2.2,0.45,1.5,1994/10/1,-2.6,0.5,3.6,-5.5,0.1,92.7,5.8
125107,-1,80,39,32,21.1,56.4,38.7,1.02,4.6,0.44,4,1993/10/1,0.7,0.4,3.7,-4.7,0.4,82.7,6.8
159842,7,82,31,38,20.3,59.3,39.8,1.4,4,0.95,3.5,1992/10/1,5,0.4,0.5,-11.2,0.4,73.3,7.3
144944,-15,80,28,20,15.2,55.8,35.5,1.7,24.5,0.67,10,1991/10/1,-2.3,0.6,0.3,3.3,0.1,78.3,7
111145,10,76,36,38,21.3,52.5,36.9,1.79,8.5,0.75,4,1990/10/1,5.2,0.9,25.6,76,0.6,63.9,5.9
123454,11,74,35,31,24.3,52.8,38.6,2.15,2,0.42,2,1989/10/1,1.4,1.1,-5.8,1.6,0.5,93.9,5.3
170504,18,74,38,45,24.1,64.8,44.5,0.15,0,0.1,0,1988/10/1,,1.1,-0.5,-16.1,0.3,94.1,5.4
122637,4,78,30,46,15.4,62.1,38.7,0,0,0,0,1987/10/1,,0.9,1.9,1.7,0.3,89.3,6
94106,5,69,31,40,19.3,56.9,38.1,0.79,0,0.26,0,1986/10/1,,0.9,-5.2,-9.5,0.1,95.6,7
24710,6,59,34,29,21.2,45.1,33.1,1.1,6.4,0.46,3.5,2016/11/1,-2.7,0.4,12.2,21.7,-0.2,93.8,4.6
11049,-18,51,42,10,8.4,31.3,19.9,2.19,15.5,1.33,6,2015/11/1,0.6,0.9,-8.6,1.9,-0.2,91.3,5
11537,-18,66,38,6,11.7,35.9,23.8,2.01,15.3,0.74,6,2014/11/1,-1.7,0.9,-8,-6.9,-0.5,88.8,5.8
11169,-7,52,32,20,15.4,38.4,26.9,1.04,12.6,0.36,4,2013/11/1,-0.6,0.5,-0.8,2.5,-0.2,75.1,6.9
14059,-2,61,35,19,17.7,42.1,29.9,0.85,8.8,0.2,3,2012/11/1,-3.3,0.4,1.6,4.7,-0.5,82.7,7.7
12198,-8,53,22,17,9.3,35.2,22.3,1.92,22.1,0.69,9,2011/11/1,-5.7,0.7,0.8,7.9,-0.1,63.7,8.6
16819,-22,65,38,3,11.9,35,23.4,2.67,40.7,0.66,9.5,2010/11/1,2.5,0.5,10.3,16.8,0,71.6,9.8
9397,0,62,29,27,13,41.5,27.2,0.8,4.6,0.3,2,2009/11/1,7.7,0.4,6.5,10.1,0.1,67.4,9.9
12671,3,64,34,30,19.8,43.3,31.5,1.46,9.2,0.5,3.5,2008/11/1,-9.9,1.4,-39.9,-27.1,-1.9,55.3,6.8
15362,-20,58,34,20,10.5,41.4,26,0.79,9.9,0.51,8,2007/11/1,4.7,1,13.4,24,0.6,76.1,4.7
12382,-10,58,42,11,16.8,39.5,28.2,1.27,11.7,0.55,2.5,2006/11/1,-5.6,0.7,-22.8,-22.5,-0.1,92.1,4.5
11505,-6,53,36,22,13.9,37.4,25.6,2.11,20.8,0.42,4.2,2005/11/1,1.9,0.7,-4.4,13.5,-0.8,81.6,5
13939,-17,57,24,17,11.9,39.7,25.8,0.37,6,0.27,4.5,2004/11/1,4.8,0.6,13.7,17.7,0.1,92.8,5.4
7967,-18,50,26,15,4.3,33.2,18.8,0.73,14.4,0.18,3.3,2003/11/1,-0.4,0.7,-0.4,-2.7,-0.3,93.7,5.8
11235,-12,52,26,13,7.7,36.3,22,1.1,13.6,0.45,5,2002/11/1,-1,0.6,4.5,10.4,0,84.2,5.9
19585,-5,60,30,20,16.9,43.9,30.4,1.09,7.3,0.3,2.8,2001/11/1,-5.9,0.6,-13.5,-19.3,-0.2,83.9,5.5
13422,-17,48,26,15,0.7,30.8,15.7,0.22,8,0.11,2,2000/11/1,-5,0.5,4.4,16.2,0.1,107.6,3.9
16230,-9,66,26,29,10.7,49.4,30.1,0.31,2.7,0.1,1,1999/11/1,4.2,0.5,2.3,6,0.1,107.2,4.1
9106,2,51,28,25,17.4,39.3,28.3,2.36,16.3,0.62,4.8,1998/11/1,-3.4,0.7,-1,-0.7,0,102.7,4.4
9983,-5,57,25,25,12.7,39.7,26.2,0.48,6,0.19,2,1997/11/1,1.8,0.8,-1.6,-1.3,-0.1,107.2,4.6
10473,-8,52,29,26,9.7,39.3,24.5,2.24,10.3,0.68,2,1996/11/1,4.8,1,2.7,-0.1,0.2,99.2,5.4
11635,-7,54,33,22,17.2,40.7,29,1.37,13.5,0.31,3,1995/11/1,-0.1,0.5,-3.8,1.3,-0.1,88.2,5.6
7953,-18,47,27,21,2.1,30.7,16.4,1.17,24.1,0.37,6.5,1994/11/1,-5.1,0.6,-0.3,-3.7,0.1,91.6,5.6
18899,-23,50,25,9,2.3,35.4,18.9,0.75,3.8,0.69,2.5,1993/11/1,4.7,0.4,2.4,0.2,0.1,81.2,6.6
8646,-15,47,25,18,5.9,33.6,19.8,1.05,16.8,0.37,5,1992/11/1,11.3,0.4,1.6,-11.2,0.1,85.3,7.4
6261,-19,46,27,10,5.4,31.3,18.3,1.6,20,0.33,4,1991/11/1,-3.3,0.5,0.2,0.2,0.3,69.1,7
8117,-6,61,30,21,14.9,41.1,28,0.56,8.5,0.15,3,1990/11/1,6.3,0.9,16.2,52.8,0.2,66,6.2
6791,-8,56,32,24,14.3,39.5,26.9,0.76,7.5,0.19,2,1989/11/1,0.4,1.2,-3.4,4,0.2,90.9,5.4
18510,-10,62,38,18,10.7,36.9,23.8,1.47,21.5,0.42,5,1988/11/1,,1,-2.3,-11.3,0.1,93,5.3
19842,-4,57,33,28,11.1,40.7,25.9,0.83,6.5,0.3,5,1987/11/1,,0.9,-0.6,-2.3,0.1,83.1,5.8
6414,-27,52,24,9,4.9,36,20.9,1.28,17.5,0.75,12,1986/11/1,,1.1,-0.7,-0.7,0.1,91.4,6.9
19685,-36,38,16,2,-2.4,20.6,9.1,1.4,25.7,0.76,11.5,2016/12/1,-1.4,0.4,9.8,15.9,0,98.2,4.7
20470,-15,48,34,10,4.6,26.2,15.4,1.47,21.4,0.31,5,2015/12/1,0.7,0.5,-5.5,-8,-0.3,92.6,5
18340,-29,52,32,-9,9.3,31.6,20.4,1.44,22.3,0.57,7,2014/12/1,-2.4,0.8,-16.7,-17.7,-0.6,93.6,5.6
17378,-28,40,30,-4,-0.5,21.7,10.6,1.54,19.8,0.48,4.5,2013/12/1,-0.7,0.5,1.4,5.5,0,82.5,6.7
18472,-23,48,30,10,8.5,30.1,19.3,2.08,21.3,0.38,4,2012/12/1,1.5,0.3,-6.3,-7.3,-0.3,72.9,7.9
16514,-25,42,29,13,-0.3,25.9,12.8,0.94,10.5,0.59,4.5,2011/12/1,-2.4,0.6,-2.8,6.1,-0.2,69.9,8.5
17388,-16,40,28,6,7.6,29.6,18.6,1.9,29.1,0.35,4.5,2010/12/1,5.2,0.3,15.2,19.3,0.2,74.5,9.3
18107,,,,,,,,,,,,2009/12/1,6.3,0.4,4.9,11.3,-0.2,72.5,9.9
16352,-17,42,24,-6,1.3,25.3,13.3,1.71,27.6,0.3,4.7,2008/12/1,-9.8,1.1,-52,-51.5,-1,60.1,7.3
20408,-20,42,27,12,2.4,25.2,13.8,1.35,25.1,0.4,6,2007/12/1,4.9,0.7,11.2,24.4,-0.1,75.5,5
19046,-21,44,30,13,3.8,28.7,16.2,1.17,10.8,0.27,2,2006/12/1,-5,0.8,-4.5,-3.6,0.1,91.7,4.4
16839,,,,,,,,,,,,2005/12/1,0.5,0.7,-20.2,-8.9,-0.4,91.5,4.9
14597,-24,47,31,12,10.1,32.2,21.2,0.56,11.1,0.12,2,2004/12/1,3.3,0.5,9.1,20.7,-0.4,97.1,5.4
12951,-7,43,23,18,6.1,31.4,18.7,1.41,24.3,0.38,5.5,2003/12/1,-1.2,0.8,-4.8,39.7,-0.1,92.6,5.7
19123,-19,42,23,11,5.7,31.8,18.8,0.47,6.9,0.18,1.1,2002/12/1,0.6,0.5,3.4,10.1,-0.2,86.7,6
27716,-15,36,24,17,2.8,27.2,15,1.05,20.2,0.15,3,2001/12/1,-5.6,0.5,-24.2,-29.3,-0.4,88.8,5.7
27302,-20,39,19,5,0.3,27.7,14,0.84,23.4,0.18,4,2000/12/1,-2.7,0.5,-2.8,-1.7,-0.1,98.4,3.9
25286,-16,53,17,18,-3.1,30.1,13.5,2.2,28.4,0.56,4,1999/12/1,5.3,0.6,3.8,15.8,0,105.4,4
25742,-35,46,32,-5,0.8,26.5,13.6,0.92,13.8,0.27,4,1998/12/1,-1.6,0.6,-2.6,-10.5,-0.1,100.5,4.4
24503,-19,41,26,12,0.7,26.7,13.7,0.96,13.9,0.41,4.5,1997/12/1,-1.6,0.8,-5.1,-0.7,-0.1,102.1,4.7
20633,-24,44,28,9,2.8,28.7,15.8,3.05,37,0.38,6,1996/12/1,4.4,1,5.6,0.8,0,96.9,5.4
7814,-14,49,36,15,7.3,32.1,19.7,1.42,10.6,0.36,4,1995/12/1,-6,0.5,-0.6,4.7,-0.1,91,5.6
29251,-15,45,26,11,6.3,30,18.1,1.8,28.4,0.75,11,1994/12/1,-5.3,0.6,0.1,0.7,0,95.1,5.5
29961,-12,49,24,17,0.7,29.7,15.2,0.87,13.9,0.2,3,1993/12/1,7.2,0.3,2,-10.2,0,88.2,6.5
27584,-27,39,21,7,-1.7,24.8,11.5,1.45,24.4,0.5,6,1992/12/1,13.4,0.3,2.1,-10.2,-0.1,91,7.4
23998,-20,45,18,5,-1.7,26.2,12.2,0.93,17.5,0.4,7,1991/12/1,-0.1,0.5,1.2,-5.8,0.1,68.2,7.3
16692,-42,37,12,-27,-11.9,15.6,1.9,1.04,19.1,0.25,5,1990/12/1,6.5,1,7.6,6,0,65.5,6.3
19876,-25,46,25,5,-0.6,25.9,12.7,1.82,35.8,0.73,12,1989/12/1,-0.7,0.9,-1.1,7.5,0.2,90.5,5.4
19045,-20,43,23,6,-0.7,23.9,11.6,0.76,11.6,0.14,3,1988/12/1,,0.9,-1.3,-3.4,0.2,91.9,5.3
19993,-24,48,27,5,0.5,27.4,14,0.83,8.9,0.28,2.8,1987/12/1,,0.8,-0.7,-4.7,0,86.8,5.7
18674,-14,34,18,12,-5.5,24.6,9.5,1.03,10,0.9,9,1986/12/1,,1.1,-2.4,-0.5,0.1,89.1,6.6
